property_id,lat,lng,addr_street,price,property_type,year,bedrooms,bathrooms,parking_space,distance_to_sc,shopping_center_id,train_station_id,distance_to_train_station,hospital_id,distance_to_hospital,distance_to_supermarket,supermarket_id,suburb,travel_min_to_CBD,transfer_flag
70212,-37.870506,145.106006,6 Electra Avenue,14720000,house,2015,3,1,1,1731,SC_042,19840,734,hospital_089,1779.469,1412.912,S_112,ASHWOOD,28,0
88116,-37.935958,145.048762,18 Baker Street,8400000,house,2014,4,2,3,1204,SC_046,19937,1346,hospital_110,1358.441,1475.809,S_069,MOORABBIN,38,0
53613,-37.820266,145.0131,640 Bridge Road,9660000,house,2013,1,1,1,1929,SC_038,19906,907,hospital_122,1053.993,1909.512,S_102,RICHMOND,13,0
52040,-37.820393,145.012725,1 Tudor Street,17780000,house,2015,3,1,0,1906,SC_038,19906,871,hospital_122,1012.597,1886.937,S_102,RICHMOND,13,0
58073,-37.825737,145.14621,39 Laurel Grove North,14875000,house,2012,3,1,2,2717,SC_037,19898,669,hospital_060,1281.616,533.549,S_018,BLACKBURN,35,0
894,-37.8024292,144.8954773,34 Raleigh Street,6512000,house,2009,3,1,0,2727,SC_085,20024,446,hospital_003,1167.136,320.867,S_201,FOOTSCRAY,18,0
38439,-37.776695000000004,145.0171,78 Gillies Street,11895000,house,2013,3,1,1,2863,SC_001,19930,227,hospital_029,1387.779,2776.472,S_105,FAIRFIELD,18,0
61225,-37.791059000000004,145.248223,12 Ripley Court,8749000,house,2016,4,1,1,2933,SC_032,19879,1925,hospital_164,1733.88,948.073,S_157,RINGWOOD,46,0
37454,-37.64086533,145.0539551,45 Horseshoe Crescent,2790000,house,2009,3,2,3,3648,SC_062,45795,1641,hospital_053,4283.13,2410.337,S_083,EPPING,46,0
6654,-37.778834,144.811803,35 Norwood Street,5390000,house,2010,4,2,1,2444,SC_102,20004,1440,hospital_057,1695.58,1822.447,S_130,ALBION,28,0
49744,-37.813010999999996,145.073545,8 Reid Street,10710000,house,2010,4,3,2,2012,SC_099,19892,1318,hospital_064,2837.127,2026.748,S_160,BALWYN,27,0
37587,-37.645452,145.047407,6 Epsom Avenue,4308000,house,2010,3,2,2,4279,SC_062,20005,2026,hospital_053,3486.32,3028.057,S_096,EPPING,43,0
94732,-37.93308,145.047167,13 Glenmer Street,7290000,house,2013,3,1,2,1144,SC_046,19937,1167,hospital_110,1154.806,1358.742,S_107,BENTLEIGH,38,0
63515,-37.78297,145.292614,136 DORSET ROAD,4320000,house,2011,4,2,2,1817,SC_022,19878,1758,hospital_164,4704.055,1758.693,S_181,CROYDON,51,0
92273,-37.982815,145.092392,4 Glengala Court,9800000,house,2016,3,2,2,1129,SC_003,19864,2019,hospital_001,2290.584,1698.719,S_003,MENTONE,41,0
2277,-37.80582428,144.8837128,42 Queensville Street,5316000,house,2007,3,1,2,2708,SC_043,20023,407,hospital_056,1188.321,1657.323,S_201,KINGSVILLE,20,0
42739,-37.719095,145.09321200000002,1/102 Harborne Street,3600000,house,2012,3,1,2,4252,SC_009,19984,1285,hospital_075,1899.999,1520.007,S_020,MACLEOD,34,0
68188,-37.834990000000005,145.021021,7 Duffryn Place,22200000,house,2012,4,3,2,1509,SC_038,19909,182,hospital_127,1773.152,1504.083,S_102,TOORAK,11,0
56063,-37.850054,145.13194199999998,1 Johnston Street,3354000,house,2010,2,1,2,3024,SC_037,19875,2342,hospital_047,677.816,368.954,S_097,BURWOOD,30,0
3292,-37.823155,144.895224,298 Hyde Street,5100000,house,2014,3,1,2,4383,SC_011,19996,888,hospital_003,2896.798,2064.134,S_201,YARRAVILLE,16,0
88638,-37.95159912,145.025528,21 Noyes Street,6350000,house,2008,2,1,2,1745,SC_079,19872,1842,hospital_058,1171.576,679.153,S_214,HIGHETT,40,0
24943,-37.604654,144.930608,1/63 Gillingham Crescent,4960000,house,2016,3,2,1,1186,SC_110,40221,1439,hospital_104,4345.33,1041.54,S_178,CRAIGIEBURN,46,0
33662,-37.70919418,145.0193481,117 Rathcown Road,6795000,house,2009,2,1,1,2943,SC_047,20009,1101,hospital_139,2489.842,1773.572,S_225,RESERVOIR,33,0
44874,-37.702756,145.090854,3/21 Hamlet Street,4800000,house,2016,3,2,2,4701,SC_062,19984,1085,hospital_075,1685.199,1040.494,S_020,GREENSBOROUGH,34,0
45054,-37.689536,145.095575,4 Wanbanna Avenue,5850000,house,2013,3,2,2,3633,SC_062,19985,1929,hospital_075,1827.426,1463.268,S_210,GREENSBOROUGH,38,0
52631,-37.813541,144.992731,2 Peers Street,11310000,house,2016,2,1,1,2307,SC_068,19978,194,hospital_173,376.442,478.841,S_076,RICHMOND,7,0
41350,-37.746296,145.0611,1 Hillside Road,27830000,house,2016,5,3,1,1196,SC_017,19936,642,hospital_066,820.81,1429.794,S_100,ROSANNA,28,0
85020,-37.875601,144.977316,54 Marine Parade,14000000,house,2013,4,2,2,690,SC_054,19956,1887,hospital_103,2093.741,669.602,S_017,ELWOOD,13,0
61762,-37.805563,145.234834,3/56 Oliver Street,4320000,house,2010,3,2,2,939,SC_032,19902,1148,hospital_105,1049.618,712.067,S_190,RINGWOOD,43,0
13867,-37.744302000000005,144.91441799999998,15 Fuller Street,20100000,house,2016,4,3,1,1361,SC_082,20036,773,hospital_184,1055.988,441.065,S_197,ESSENDON,24,0
33567,-37.694369,145.00071499999999,103 Pallant Avenue,3600000,house,2013,3,1,2,4125,SC_103,20008,1244,hospital_139,2135.961,2677.894,S_228,RESERVOIR,36,0
17680,-37.69950867,144.9252014,75 Paget Avenue,2980000,house,2008,2,1,1,3826,SC_082,20032,1000,hospital_104,4478.5,606.304,S_209,GLENROY,33,0
67939,-37.850813,145.026497,2/1065 Malvern Road,13750000,house,2015,3,2,1,2235,SC_038,19945,950,hospital_092,1215.647,896.682,S_235,TOORAK,24,0
43306,-37.718779,145.08766799999998,8 Leigh Court,11050000,house,2013,4,3,3,3992,SC_017,19984,834,hospital_075,2378.399,1886.195,S_020,MACLEOD,34,0
73702,-37.842281,145.29153300000002,42 Robertson Crescent,4966000,house,2014,3,1,1,4063,SC_022,19869,1843,hospital_049,2102.555,1906.635,S_146,BORONIA,53,0
86291,-37.919825,145.002546,2 Duncombe Avenue,30260000,house,2012,3,1,2,4370,SC_046,19951,816,hospital_156,1427.063,862.481,S_009,BRIGHTON,22,0
87055,-37.923596999999994,144.993868,71 New Street,3570000,house,2016,4,3,2,5159,SC_046,19950,587,hospital_156,1108.606,786.074,S_009,BRIGHTON,24,0
31332,-37.752534000000004,144.989354,54B Rennie Street,6200000,house,2014,3,1,2,1833,SC_103,20014,1051,hospital_144,1987.116,1594.863,S_105,THORNBURY,23,0
23906,-37.706616,144.972776,11 Brooks Street,6874000,house,2015,3,1,1,3447,SC_030,19962,1545,hospital_139,2986.301,2243.386,S_161,FAWKNER,33,0
54793,-37.816456,145.019904,98 Church Street,18700000,house,2010,4,2,2,1784,SC_083,19905,592,hospital_032,1146.622,1566.48,S_039,HAWTHORN,19,0
90565,-37.964673,145.078452,33 Lincoln Drive,10164000,house,2016,3,1,3,1320,SC_003,19865,2156,hospital_109,449.956,1776.905,S_003,CHELTENHAM,39,0
74493,-37.899275,145.056059,101 Oakleigh Road,7020000,house,2013,2,1,2,1356,SC_041,19920,1222,hospital_159,2414.943,1058.471,S_015,CARNEGIE,28,0
71084,-37.861278999999996,145.22106000000002,12 Kalinya Drive,8556000,house,2016,3,1,1,4520,SC_032,19901,3983,hospital_008,1254.936,514.633,S_226,WANTIRNA,41,0
58807,-37.823181,145.178172,28 Mount Pleasant Road,4410000,house,2011,3,1,1,385,SC_088,19899,435,hospital_010,2120.491,227.274,S_202,NUNAWADING,37,0
6318,-37.78076935,144.8442841,19 Ernest st,10890000,house,2008,3,1,0,1201,SC_102,20021,1453,hospital_174,1338.798,1247.904,S_080,SUNSHINE,26,0
71536,-37.849554,145.237168,4 Rylands Place,5376000,house,2013,3,2,2,3491,SC_032,19871,2109,hospital_179,1073.033,2446.497,S_226,WANTIRNA,46,0
12624,-37.715959999999995,144.769463,20 Aitken Drive,4290000,house,2015,3,1,3,3474,SC_048,20000,1447,hospital_057,6445.036,1452.495,S_094,DELAHEY,39,0
51267,-37.779762,145.135458,32 Roseland  Grove,11770000,house,2013,4,2,2,1248,SC_091,19897,3792,hospital_194,2328.641,1436.596,S_188,DONCASTER,35,0
94125,-38.072893,145.12598899999998,18 Tennyson Street,5490000,house,2010,3,2,0,6443,SC_070,19858,437,hospital_043,7144.361,2033.093,S_077,CARRUM,39,0
78997,-37.951,145.146955,34 Victoria Avenue,12000000,house,2011,4,2,2,4812,SC_057,19913,736,hospital_124,3915.311,565.476,S_075,SPRINGVALE,44,0
9242,-37.84288,144.74274,10 Edmonton Avenue,4100000,house,2016,3,2,1,4264,SC_053,46468,2508,hospital_073,7684.79,2236.671,S_007,TRUGANINA,33,0
57683,-37.82201767,145.1496429,16 Main Street,7839000,house,2009,5,2,0,2442,SC_002,19898,183,hospital_060,1229.937,896.902,S_018,BLACKBURN,35,0
54393,-37.82055664,145.0227814,3/6-10 Lennox Street,8811000,house,2009,3,2,2,1426,SC_083,19905,117,hospital_086,912.129,1412.376,S_208,HAWTHORN,19,0
29413,-37.76793289,145.0006104,14 McCutcheon Street,15340000,house,2008,4,3,3,2589,SC_103,20015,528,hospital_035,926.531,1573.938,S_105,NORTHCOTE,21,0
89590,-37.950008000000004,145.018549,54 Vincent Street,15000000,house,2012,4,2,1,2403,SC_046,19948,1557,hospital_058,1050.1,578.271,S_214,SANDRINGHAM,29,0
83101,-37.88210678,145.2502136,21 Watersedge Close,6000000,house,2008,4,2,2,6556,SC_049,19870,4198,hospital_002,3152.578,2531.726,S_027,KNOXFIELD,50,0
21609,-37.757478000000006,144.971177,88 Davies,9380000,house,2010,3,1,1,3273,SC_030,19966,1076,hospital_144,114.256,1467.643,S_173,BRUNSWICK,26,0
74462,-37.896678,145.063234,1/68 Moonya Road,11904000,house,2015,2,1,1,1202,SC_041,19919,750,hospital_159,2362.385,1118.378,S_015,CARNEGIE,30,0
88261,-37.94227,145.059317,6 Marrbridge Road,12640000,house,2015,3,1,2,2125,SC_079,19872,2022,hospital_082,1683.827,1616.28,S_023,MOORABBIN,40,0
3125,-37.815513,144.865331,22 Urwin Street,9375000,house,2014,2,1,2,2035,SC_043,20022,1504,hospital_056,3089.81,2034.311,S_149,YARRAVILLE,22,0
88840,-37.945106,145.02828300000002,39 Peterson Street,11645000,house,2012,2,1,1,1231,SC_046,19937,1359,hospital_110,1451.236,685.514,S_214,HIGHETT,38,0
91201,-37.987425,145.046207,12 Lileura Avenue,8400000,house,2010,3,2,2,3540,SC_079,19866,2111,hospital_055,941.062,1883.552,S_011,BEAUMARIS,37,0
37236,-37.637029,145.032717,3 Maserati Drive,5775000,house,2012,4,2,2,6026,SC_062,20005,1430,hospital_053,2241.096,2530.341,S_196,EPPING,43,0
49547,-37.80751038,145.0678711,49 Gordon Street,12150000,house,2008,4,2,2,1886,SC_099,19892,1678,hospital_064,2180.718,1361.347,S_137,BALWYN,27,0
78266,-37.928979,145.180367,61 Kambara Drive,4527000,house,2012,4,2,2,2167,SC_073,19891,3184,hospital_161,3750.703,1109.04,S_067,MULGRAVE,46,0
95218,-37.913032,145.052483,226 Tucker Road,10160000,house,2015,3,2,1,2671,SC_041,19940,1598,hospital_159,1812.841,1298.793,S_107,MCKINNON,36,0
57504,-37.812129999999996,145.14616,1/43 Kerr Street,5800000,house,2015,3,2,2,2717,SC_037,19898,843,hospital_060,2200.096,1766.753,S_018,BLACKBURN,35,0
73767,-37.865034,145.296578,5 Enderby Court,6080000,house,2012,3,2,2,2985,SC_049,19869,1421,hospital_049,1559.88,1209.801,S_146,BORONIA,53,0
39266,-37.715835999999996,145.033351,1 Club Avenue,5230000,house,2015,3,1,3,2099,SC_047,20009,2750,hospital_025,1098.342,974.548,S_225,KINGSBURY,33,0
84633,-37.87722778,144.9824066,12a Meredith Street,7436000,house,2008,2,1,0,801,SC_015,19956,1423,hospital_103,1831.019,894.268,S_017,ELWOOD,13,0
63211,-37.801602,145.30066000000002,1 The Oaks,6600000,house,2010,4,2,2,1971,SC_022,19877,2022,hospital_164,5048.378,1079.786,S_224,CROYDON,50,0
671,-37.79024506,144.8827667,23 Summerhill Road,5555000,house,2009,2,1,2,1626,SC_052,20023,1091,hospital_056,463.496,1711.073,S_049,MAIDSTONE,20,0
80428,-37.985802,145.169632,63 Kingsclere Avenue,3380000,house,2012,3,1,0,755,SC_057,19890,1882,hospital_096,731.477,734.976,S_079,KEYSBOROUGH,49,0
48827,-37.812386,145.043152,90 Edgevale Road,25700000,house,2015,3,2,1,1119,SC_083,19903,961,hospital_064,665.208,1100.563,S_208,KEW,23,0
66701,-37.787416,145.327341,78 Kipling Avenue,5136000,house,2011,3,1,0,3067,SC_084,19877,1681,hospital_113,3841.877,2322.497,S_224,MOOROOLBARK,50,0
24103,-37.702876,144.96215700000002,18 Shirley Street,7800000,house,2016,2,1,1,3006,SC_030,19961,417,hospital_139,4214.972,1291.038,S_161,FAWKNER,35,0
85932,-37.923524,144.99219,10 Cairnes Crescent,24360000,house,2010,5,3,2,5160,SC_015,19950,433,hospital_156,1073.934,849.076,S_009,BRIGHTON,24,0
83991,-37.85493851,145.0045929,40 Banole Avenue,10543000,house,2008,3,1,2,1372,SC_038,19947,982,hospital_132,483.47,633.09,S_115,PRAHRAN,21,0
56967,-37.83355331,145.0805206,1 Griotte Street,15300000,house,2010,4,2,3,2640,SC_099,19893,831,hospital_089,2655.532,1067.999,S_160,CANTERBURY,29,0
25611,-37.601834000000004,144.927765,17 Axminster Drive,4920000,house,2013,3,1,0,1386,SC_110,40221,1732,hospital_104,4525.992,995.567,S_178,CRAIGIEBURN,46,0
41333,-37.703124,145.05531200000001,B1/52 Boadle Road,13310000,house,2015,2,1,0,4265,SC_047,19983,2595,hospital_037,252.122,406.8,S_155,BUNDOORA,31,0
73444,-37.86373,145.27228300000002,3 /22 Rankin Road,7520000,house,2011,3,2,2,4889,SC_049,19869,1380,hospital_002,882.915,1381.865,S_024,BORONIA,53,0
63340,-37.780206,145.292039,10 Hibiscus Court,11920000,house,2014,4,2,2,1995,SC_022,19878,1888,hospital_164,4776.572,1897.012,S_181,CROYDON,51,0
9576,-37.849146000000005,144.727576,50 Marquands Road,3400000,house,2015,4,2,2,2535,SC_053,46468,2905,hospital_073,5913.961,2380.988,S_007,TRUGANINA,33,0
8724,-37.74994659,144.7511749,9 Yallambee Place,2938000,house,2008,4,2,2,1882,SC_048,20001,5097,hospital_057,7114.093,419.465,S_156,BURNSIDE,36,0
90210,-37.965109000000005,145.07515800000002,2 Kimpton Street,6640000,house,2016,3,1,2,1643,SC_003,19865,1891,hospital_109,232.818,1745.693,S_003,CHELTENHAM,39,0
10208,-37.794527,144.928204,2 Henry Street,8136000,house,2016,3,2,0,1740,SC_011,20041,267,hospital_114,237.899,670.504,S_086,KENSINGTON,14,0
87687,-37.942526,145.011965,4 David Street,5950000,house,2016,5,2,2,2949,SC_046,19948,1089,hospital_036,918.409,1161.812,S_214,HAMPTON,29,0
95980,-37.91236,145.03923799999998,56A Bent Street,6720000,house,2016,3,2,2,2478,SC_046,19940,214,hospital_110,1907.39,727.682,S_107,MCKINNON,36,0
32077,-37.733442,144.994517,18 Esmond Street,5610000,house,2011,3,1,0,999,SC_103,20012,821,hospital_139,1500.157,985.384,S_085,PRESTON,27,0
26681,-37.59335327,144.92701719999997,38 Cimberwood Drive,3377000,house,2009,3,1,3,1468,SC_016,40221,1972,hospital_104,5275.457,779.535,S_178,CRAIGIEBURN,46,0
57331,-37.822385,145.076224,5 Hopetoun Avenue,25850000,house,2011,4,3,2,2032,SC_099,19893,589,hospital_168,3200.708,1289.865,S_160,CANTERBURY,29,0
64604,-37.795268,145.297681,5 Silverley Road,12155000,house,2010,3,2,2,1663,SC_022,19877,1901,hospital_164,4822.616,1544.168,S_224,CROYDON,50,0
13320,-37.69610596,144.76474,6 Gooch Close,3410000,house,2008,4,2,2,4232,SC_048,20000,1146,hospital_057,8060.59,1398.416,S_094,SYDENHAM,39,0
91575,-37.981909,145.037675,35 Cloris Avenue,8080000,house,2011,4,2,1,3014,SC_079,19866,2339,hospital_055,1610.516,2755.947,S_011,BEAUMARIS,37,0
36952,-37.65267,145.039824,18 Maywood Drive,3696000,house,2011,3,1,2,5086,SC_062,20005,1080,hospital_053,2599.052,2564.846,S_229,EPPING,43,0
87206,-37.921962,145.004109,9 Peacock Street,19600000,house,2010,5,3,2,4133,SC_046,19951,1069,hospital_156,1678.317,1112.077,S_009,BRIGHTON,22,0
26240,-37.57700729,144.9361115,28 Canisby way,4433000,house,2008,4,2,2,1757,SC_005,40221,2399,hospital_104,6937.142,1566.0,S_178,CRAIGIEBURN,46,0
37814,-37.62762,145.039374,86 Hayston Boulevard,6305000,house,2010,4,2,2,5584,SC_062,20005,2483,hospital_053,3356.023,3404.144,S_196,EPPING,43,0
50148,-37.765321,145.0973,30 Lonsdale Street,5824000,house,2011,3,2,2,600,SC_009,19936,4028,hospital_193,2117.808,700.293,S_154,BULLEEN,28,0
90464,-37.961431,145.077153,3 Bettina Crt,11900000,house,2015,4,2,2,1594,SC_003,19865,2293,hospital_109,284.339,2067.027,S_003,CHELTENHAM,39,0
40704,-37.69356918,145.06504819999998,48 Milton Parade,4320000,house,2009,4,2,2,4450,SC_062,19984,2622,hospital_041,302.851,1226.964,S_155,BUNDOORA,34,0
69049,-37.856131,145.03833999999998,30 Alice Street,13770000,house,2011,3,2,2,1899,SC_023,19911,724,hospital_183,696.257,1112.0,S_235,MALVERN,15,0
69672,-37.86044312,145.0830994,2 Baker Parade,9600000,house,2009,3,1,2,1804,SC_042,19848,240,hospital_098,381.071,1306.82,S_112,ASHBURTON,36,0
25880,-37.604407,144.929665,2/71 Gillingham Crescent,4095000,house,2015,3,2,1,1268,SC_110,40221,1538,hospital_104,4340.948,1063.91,S_178,CRAIGIEBURN,46,0
94058,-38.068065999999995,145.122143,9 Breeze Street,6120000,house,2009,3,1,0,6967,SC_070,19859,542,hospital_180,7642.729,1433.522,S_077,BONBEACH,37,0
18499,-37.690176,144.931104,23 Housden Street,4225000,house,2014,3,1,0,3725,SC_072,20030,1434,hospital_104,3788.289,1523.122,S_153,BROADMEADOWS,37,0
91633,-37.978428,145.047632,4 Wall Street,14576000,house,2013,3,1,2,2771,SC_079,19866,1323,hospital_055,512.371,1672.034,S_011,BEAUMARIS,37,0
75969,-37.89456558,145.0778656,23 Willesden Road,11730000,house,2009,4,2,1,698,SC_087,19918,39,hospital_159,2796.98,697.518,S_167,HUGHESDALE,32,0
30080,-37.776968,144.99179099999998,42 Charles Street,7200000,house,2010,2,1,1,3591,SC_103,20017,154,hospital_035,2199.333,2425.999,S_060,NORTHCOTE,18,0
81244,-37.974678000000004,145.20954,4 Exeter Court,3825000,house,2015,3,1,2,1291,SC_112,19888,1398,hospital_048,595.815,888.317,S_183,DANDENONG,54,0
62382,-37.821594,145.221944,9 Keith Grove,9737000,house,2014,3,2,2,1113,SC_032,19902,940,hospital_105,2539.245,1162.582,S_040,RINGWOOD,43,0
68950,-37.86345673,145.03787230000003,231 Wattletree Road,7501000,house,2008,2,1,1,1288,SC_023,19944,988,hospital_183,170.778,1040.199,S_235,MALVERN,20,0
9273,-37.859493,144.730252,119 Forsyth Road,8125000,house,2014,4,3,2,2979,SC_053,46468,2133,hospital_073,5854.792,1579.281,S_007,TRUGANINA,33,0
17523,-37.701925,144.905871,60 Fran Street,6985000,house,2010,5,3,2,2377,SC_010,20031,1272,hospital_184,3678.431,2051.922,S_209,GLENROY,35,0
42999,-37.72963333,145.0891571,23 longacres road,4884000,house,2008,3,2,2,3302,SC_009,19984,1806,hospital_075,2909.327,2580.289,S_020,YALLAMBIE,34,0
91902,-37.974478999999995,145.054655,1 Conti Court,7740000,house,2014,4,2,2,2763,SC_079,19866,714,hospital_055,579.191,1080.336,S_011,MENTONE,37,0
735,-37.788813,144.884426,268 Ballarat Road,10920000,house,2015,3,1,1,1468,SC_052,20023,1188,hospital_056,439.874,1519.233,S_049,FOOTSCRAY,20,0
51450,-37.787894,145.111107,460 Doncaster Road,15840000,house,2016,3,1,2,1658,SC_091,19896,2945,hospital_194,1405.911,1347.204,S_046,DONCASTER,34,0
51843,-37.79448,145.213497,21 Harris  Road,20160000,house,2013,5,2,2,2387,SC_032,19901,2234,hospital_070,2602.539,2331.45,S_040,DONVALE,41,0
17029,-37.701756,144.914772,3/863 Pascoe Vale Road,6150000,house,2015,3,2,2,3109,SC_082,20032,372,hospital_184,3847.507,1097.578,S_209,GLENROY,33,0
73253,-37.865743,145.298869,206 Forest Road,6752000,house,2009,3,1,2,2823,SC_049,19868,1515,hospital_049,1821.775,1472.92,S_146,BORONIA,55,0
6665,-37.777019,144.812601,36 Norwood Street,3888000,house,2014,3,1,2,2384,SC_102,20004,1348,hospital_057,1518.46,2008.397,S_130,ALBION,28,0
63959,-37.792587,145.26219,22 Maroondah Highway,5850000,house,2012,4,2,2,2400,SC_022,19878,2066,hospital_164,1570.279,897.224,S_157,CROYDON,51,0
73446,-37.865303999999995,145.274575,3 Bailey Street,11560000,house,2016,3,2,2,4597,SC_049,19869,1179,hospital_049,938.717,1162.227,S_024,BORONIA,53,0
236,-37.808696999999995,144.884547,113 Williamstown Road,8100000,house,2016,2,1,1,2907,SC_043,20023,633,hospital_056,1429.151,1664.364,S_201,SEDDON,20,0
40266,-37.6968689,145.05574040000002,29 Nickson Street,5225000,house,2008,3,2,2,4740,SC_047,19983,3049,hospital_037,478.666,193.704,S_155,BUNDOORA,31,0
94608,-37.92639923,145.04302980000003,107 Patterson Road,7200000,house,2008,3,2,1,1304,SC_046,19938,849,hospital_110,922.274,635.154,S_107,BENTLEIGH,39,0
10403,-37.787075,144.932698,31 Princes Street,3150000,house,2014,3,2,1,1892,SC_011,20040,415,hospital_114,735.148,536.408,S_086,FLEMINGTON,15,0
53342,-37.820073,144.991872,45 Rotherwood Street,12496000,house,2010,2,1,0,2264,SC_068,19908,411,hospital_173,249.758,1039.961,S_076,RICHMOND,11,0
24678,-37.670727,144.953091,19 Lydia Avenue,3375000,house,2015,3,1,2,3732,SC_026,19960,824,hospital_104,4069.373,1808.012,S_161,CAMPBELLFIELD,39,0
94482,-37.90712357,145.0349884,1 Queen Street,9248000,house,2005,3,2,2,2954,SC_023,19940,469,hospital_126,1836.554,1381.329,S_107,ORMOND,36,0
67841,-37.84054184,145.00704960000002,105/1 Wallace Avenue,22950000,house,2008,2,2,2,134,SC_038,19947,659,hospital_196,1232.237,133.918,S_102,TOORAK,21,0
96755,-38.000364000000005,145.25779,31 William Avenue,3300000,house,2012,2,1,1,1144,SC_077,19885,2075,hospital_119,4540.908,963.112,S_212,HALLAM,48,0
32292,-37.749858,144.983802,21 Parkside Row,6928000,house,2013,3,2,2,2227,SC_103,20014,1711,hospital_144,1466.281,1847.06,S_030,PRESTON,23,0
63818,-37.779937,145.30477199999999,2 Nola Court,8850000,house,2015,3,1,2,2240,SC_084,19877,957,hospital_113,5805.387,2124.92,S_224,CROYDON,50,0
42981,-37.727815,145.091709,21 Tom Roberts Crescent,9600000,house,2016,3,1,2,3454,SC_009,19984,1773,hospital_075,2602.512,2306.634,S_020,YALLAMBIE,34,0
82273,-37.991021999999994,145.23435,51 Chestnut Road,4380000,house,2015,3,1,2,2023,SC_077,19888,2743,hospital_119,1795.382,2014.235,S_184,DOVETON,54,0
54861,-37.842662,145.08135900000002,10 Crellin Grove,20400000,house,2014,3,1,2,3088,SC_099,19850,657,hospital_089,1960.891,1348.613,S_160,CAMBERWELL,32,0
96751,-38.002235999999996,145.284402,31 George Chudleigh Drive,4920000,house,2014,3,1,1,4027,SC_077,19885,2159,hospital_069,3465.153,2098.826,S_212,HALLAM,48,0
21050,-37.77434,144.969022,32 Horne Street,14400000,house,2013,3,2,2,3420,SC_008,19969,1149,hospital_144,1657.055,764.974,S_138,BRUNSWICK,20,0
46557,-37.704923,145.167524,13 Heddon Court,11552000,house,2015,4,2,2,2985,SC_051,19987,2330,hospital_075,6863.504,1404.166,S_194,ELTHAM,44,0
44358,-37.69839,145.11713,16 Greenhill Road,10654000,house,2016,5,3,2,5252,SC_051,19985,1112,hospital_075,1396.666,1677.004,S_210,GREENSBOROUGH,38,0
65213,-37.80902863,145.31944280000002,2/43 Geoffrey Drive,8240000,house,2009,3,2,2,4149,SC_022,19877,2357,hospital_113,5834.223,1192.524,S_224,KILSYTH,50,0
